movie_id,movie_name,director,writer,stars,description,poster,year_genre,total_weighted,num_ratings
ouatih,Once Upon a Time… in Hollywood,Quentin Tarantino,Quentin Tarantino,"Leonardo DiCaprio, Brad Pitt, Margot Robbie","As Hollywood’s Golden Age is winding down during the summer of 1969, television actor Rick Dalton and his stunt double Cliff Booth endeavor to achieve lasting success in Hollywood while meeting several colorful characters along the way.",5,2019 • Comedy/Western • 2h 40m,8.9,1
tb,The Batman(2022),Matt Reeves,"Matt Reeves, Peter Craig, Bob Kane","Robert Pattinson, Zoë Kravitz, Jeffrey Wright","When a sadistic serial killer begins murdering key political figures in Gotham, the Batman is forced to investigate the city's hidden corruption and question his family's involvement.",1,2022 • Action/Crime • 2h 56m,87,10
bs,Black Swan,Darren Aronofsky,"Mark Heyman, Andres Heinz, John J. McLaughlin","Natalie Portman, Mila Kunis, Vincent Cassel","Nina is a talented but unstable ballerina on the verge of stardom. Pushed to the breaking point by her artistic director and a seductive rival, Nina's grip on reality slips, plunging her into a waking nightmare.",2,2010 • Horror/Drama • 1h 48m,9,1
inception,Inception,Christopher Nolan,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page","A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",4,2010 • Sci-fi/Action • 2h 28m,9.8,1
barbie,Barbie,Greta Gerwig,"Greta Gerwig, Noah Baumbach","Margot Robbie, Ryan Gosling, Issa Rae","Barbie and Ken are having the time of their lives in the seemingly perfect world of Barbie Land. However, when they get a chance to go to the outside world, they soon discover the joys and perils of living among regular humans.",6,2023 • Comedy/Fantasy • 1h 54m,120.1,16
oppenheimer,Oppenheimerr,Christopher Nolan,"Christopher Nolan, Kai Bird, Martin Sherwin","Cillian Murphy, Emily Blunt, Matt Damon","A dramatization of the life story of J. Robert Oppenheimer, the physicist who had a large hand in the development of the atomic bombs that brought an end to World War II.",65,2023 • Drama/History • 3h,8.3,1
tls,The Long Shot,Jonathan Levine,"Dan Sterling, Liz Hannah","Charlize Theron, Seth Rogen, June Diane Raphael","Journalist, Fred Flarsky, reunites with his childhood crush, Charlotte Field; now one of the most influential women in the world. As she prepares to run for president, Charlotte hires Fred as her speechwriter, and sparks fly.",7,2019 • Comedy/Romance • 2h 5m,6.3,1
3b,3 Below: Tales of Arcadia,Guillermo del Toro,Guillermo del Toro,"Tatiana Maslany, Diego Luna, Nick Offerman",A pair of teenage royals and their bodyguard escape from their home planet and try to blend in on Earth.,3,2018 • Sci-fi • 2 seasons,9.5,1
tp,The Prestige,Christopher Nolan,"Jonathan Nolan, Christopher Nolan, Christopher Priest","Christian Bale, Hugh Jackman, Scarlett Johansson",Rival 19th-century magicians engage in a bitter battle for trade secrets.,9,2006 • Thriller/Sci-fi • 2h 10m,9.9,1
interstellar,Interstellar,Christopher Nolan,"Jonathan Nolan, Christopher Nolan","Matthew McConaughey, Anne Hathaway, Jessica Chastain","When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",10,2014 • Sci-fi/Adventure • 2h 49m,8.7,1
dfm,"Definitely, Maybe",Adam Brooks,Adam Brooks,"Ryan Reynolds, Isla Fisher, Rachel Weisz, Elizabeth Banks, Abigail Breslin, Derek Luke","Set in New York City, the film is about a former political consultant who tries to help his daughter understand his impending divorce by telling her the story of his past romantic relationships and how he ended up marrying her mother. One of the best movies ever made.",11,2008 • Comedy/Romance • 1h 51m,37.5,4
